#,Produit,Marque,Catégorie,Nuit,Texture,Prix,Note,Avis,BSR,Actifs,Cibles,Types de peau,Moment,Fréquence,Grossesse,Peau sensible,Irritation(0-5),Force(1-5),Preuve(1-5),Sans parfum,Sentiment,Peau grasse,Peau sèche,Peau mixte,Peau sensible,Peau normale,Customers say,Image
11,Bioderma Sébium Gel Moussant,Bioderma,nettoyant,,,13.99,4.6,21655,11165,zinc/cuivre,"acne, shine","grasse, mixte",both,daily,ok,ok,0,2,3,?,0.80,👍 oui,⚠️ prudence,👍 oui,👍 oui,👍 oui,"Customers find this facial cleanser effective, particularly for acne-prone skin, and appreciate that it doesn't leave skin feeling dry or oily. The product is gentle on sensitive skin and provides a soft, smooth feel. While some customers say it foams up nicely, others report it doesn't produce the …",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/011_B000TUNMW4.png
12,Krave Beauty Matcha Hemp Cleanser,KRAVEBEAUTY,nettoyant,,,12,4.6,822,6701,matcha,"flaking, redness, shine","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,1,4,oui,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this cleanser effective, noting it cleans without stripping necessary oils and leaves skin feeling clean and hydrated. Moreover, the product is gentle on sensitive skin, lathers beautifully, and lasts for weeks or months. They appreciate that it's not strong-scented and consider it ex…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/012_B0BZ9KMY3S.png
13,Fresh Soy Face Cleanser,Fresh,nettoyant,,,72,4.5,102,77100,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,?,0.78,?,?,👍 oui,👍 oui,👍 oui,"Customers find this face cleanser effective, with one mentioning it clears skin instantly. Moreover, they appreciate its gentle formula, particularly noting it's suitable for sensitive skin. However, opinions on value for money are mixed, with some saying it's worth the price while others find it sl…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/013_B08GN1K8X6.png
14,Drunk Elephant Beste No.9 Jelly Cleanser,Drunk Elephant,nettoyant,,,36,4.7,2707,23249,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,?,0.82,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this cleanser effective at removing makeup and making their skin feel fresh and clean, with a soft, whipped texture that's gentle enough for twice-daily use. They appreciate that it's scentless, lasts a while, and is a regular part of their face washing routine. While some customers s…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/014_B076639783.png
15,Youth To The People Superfood Cleanser,Youth To The People,nettoyant,,,27.3,4.6,10020,1201,antioxydants,"pores, shine","grasse, mixte",both,daily,ok,ok,0,2,3,?,0.80,⚠️ prudence,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers find the facial cleanser effective and appreciate its moisturizing properties, particularly noting it's great for dry skin and doesn't dry out the face. The product receives positive feedback for its gentle, soft feel, lovely fragrance, and good lathering properties. While some customers s…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/015_B018A0BO92.png
16,CeraVe Moisturizing Cream,CeraVe,hydratant,,,16.2,4.7,145069,41,céramides,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,4,oui,0.90,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective, particularly for eczema and aging dry skin, and appreciate that it works well under makeup. The cream is non-greasy, leaving no residue or oily feeling, and has a silky texture that's not heavy. Customers report it's wonderful for sensitive skin, helps reli…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/016_B00TTD9BRC.png
17,CeraVe PM Facial Moisturizing Lotion,CeraVe,hydratant,,,14.97,4.7,62188,61,niacinamide/céramides,"flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,0.87,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective and super hydrating, particularly noting it's good for oily and acne-prone skin. They appreciate its lightweight, non-greasy feel, and consider it great value for money. Regarding skin compatibility, while some customers say it doesn't irritate sensitive ski…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/017_B00365DABC.png
18,Cetaphil Moisturizing Cream,Galderma,hydratant,,,8.35,4.8,39122,49,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,0.86,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer works well for dry skin, keeping it hydrated throughout the day and being recommended by dermatologists. The product receives positive feedback for its texture, being creamy yet not heavy, and its non-greasy formula that absorbs well into the skin. Customers appreciat…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/018_B00BMJTOZK.png
19,Vanicream Moisturizing Cream,Vanicream,hydratant,,,13.56,4.6,49307,150,sans parfum,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,0.88,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective, particularly for eczema and dry skin, and appreciate its non-greasy, silky texture that leaves skin soft. The product is fragrance-free and works well for sensitive skin, with one customer noting it's gentle enough for babies with eczema. While some custome…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/019_B000NWGCZ2.png
20,Neutrogena Hydro Boost Water Gel,Kenvue,hydratant,,,24.99,4.6,88231,6909,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,non,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer hydrating and appreciate its lightweight, non-greasy formula that absorbs quickly into the skin. The texture leaves faces smooth, and customers consider it good value for money. Regarding skin compatibility, while some say it doesn't irritate their skin, others report…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/020_B00NR1YQHM.png
21,LRP Toleriane Double Repair Moisturizer,La Roche-Posay,hydratant,,,18.75,4.6,49818,22,céramides/niacinamide,"flaking, pores, redness, shine, tone_evenness","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,0.87,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer hydrating and appreciate its lightweight, non-greasy texture that feels soft on the skin. The product is particularly suitable for sensitive skin, as it doesn't irritate or cause breakouts, and customers consider it good value for money. They like that it's fragrance-…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/021_B01N9SPQHQ.png
22,First Aid Beauty Ultra Repair Cream,FIRST AID BEAUTY,hydratant,,,29.4,4.6,18940,1662,avoine colloïdale,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,?,0.85,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective for dry skin, noting it doesn't irritate sensitive skin and leaves it soft and smooth. The cream is non-greasy, with a mild scent, and customers report their skin looks plump and hydrated after use. While some customers consider it well worth the price, othe…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/022_B0FY3Q2F2M.png
23,Paula's Choice CLEAR Oil-Free Moisturizer,Paula's Choice,hydratant,,,27.28,4.6,1991,7866,niacinamide,"pores, redness, shine, tone_evenness","grasse, mixte, sensible",both,daily,ok,ok,0,2,4,oui,0.82,👍 oui,⚠️ prudence,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective for dehydrated combination skin and appreciate its lightweight formula that absorbs quickly. The product receives positive feedback for its texture and appearance, with one customer noting it creates a dewy, non-greasy look. While some customers say it doesn…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/023_B07HZWXGJ7.png
24,Kiehl's Ultra Facial Cream,Kiehl's Since 1851,hydratant,,,50.4,4.7,7553,778,squalane,flaking,"normale, seche",both,daily,ok,ok,0,1,3,?,0.85,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective, noting it hydrates well and absorbs quickly without leaving a greasy feel. They appreciate its lightweight texture, silky smoothness, and how it works as a game-changer for dry skin, keeping it feeling good throughout the day. Customers like that it's fragr…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/024_B00C6SV33M.png
25,Clinique Dramatically Different Moisturizing Gel,Clinique,hydratant,,,11.9,4.7,5024,3761,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,oui,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective, noting it works well for both dry and oily skin types, and appreciate that it doesn't leave a greasy feeling. The product is lightweight, soft, and absorbs quickly, making it suitable for sensitive skin, and customers like that it layers well under makeup. …",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/025_B000WZAL5M.png
26,Avène Tolerance Control Cream,Eau Thermale Avene,hydratant,,,26.6,4.6,2453,3456,barrière/postbiotique,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,0.87,?,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this skin cream hydrating and effective, particularly for dry patches and rosacea, with one noting it works almost immediately. They appreciate its suitability for sensitive and damaged skin, and its ability to alleviate redness and irritation. Customers describe the cream as soft, sm…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/026_B08XYV3YGB.png
27,Belif Aqua Bomb (ex « True Cream Aqua Bomb »),LG HOUSEHOLD&HEALTHCARE LTD.,hydratant,,,16.8,4.7,1926,3819,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,daily,ok,ok,0,1,4,non,0.83,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective at hydrating dry skin, with a smooth, non-greasy texture that feels light on the face. The product absorbs quickly into the skin and creates a cute dewy glow, with one customer noting it evens out their complexion. While many customers consider the price wor…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/027_B0CRS3433N.png
28,Tatcha The Water Cream,Tatcha,hydratant,,,59.2,4.6,4673,6956,botaniques japonais,"flaking, radiance","normale, seche",both,daily,ok,ok,0,1,3,?,0.84,👍 oui,⚠️ prudence,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective, particularly noting its suitability for oily skin and summer use. The cream receives positive feedback for its silky texture, lightweight feel, and ability to make skin look radiant with a dewy glow. Customers appreciate that it's gentle on sensitive skin a…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/028_B072NNC2LR.png
29,Drunk Elephant Lala Retro Whipped Cream,Drunk Elephant,hydratant,,,52.8,4.4,2058,19679,céramides,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,4,?,0.60,⚠️ prudence,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Reconstruit depuis les avis : creme hydratante riche tres appreciee, ideale peau seche et en hiver, texture fouettee non grasse, parfum leger ou absent. Bemols : tres chere, une huile peut obstruer les pores (peau grasse), et de nombreux acheteurs signalent des contrefacons/colis abimes.",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/029_B01J1ZBJSG.png
30,Weleda Skin Food,Weleda,hydratant,,,15.99,4.5,35146,1529,baume riche,flaking,"normale, seche",both,daily,ok,ok,0,1,3,non,0.77,👎 non,👍 oui,⚠️ prudence,👍 oui,⚠️ prudence,"Customers find this moisturizer effective, particularly for dry skin and hands, and appreciate that it doesn't irritate sensitive skin. The texture receives mixed feedback - while some say it feels soft and luxurious, others find it heavy and sticky. The fragrance, thickness, and greasiness are also…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/030_B000ORV3NC.png
31,CeraVe Hydrating Mineral Sunscreen SPF 30 (Face),CeraVe,spf,,,13.97,4.2,9198,8678,minéral,tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,0.75,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the sunscreen effective for sensitive skin protection and appreciate that it's dermatologist-recommended. The product receives mixed feedback regarding its texture - while some find it non-greasy and easy to apply, others mention it's tough to rub in. Moreover, customers disagree on t…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/031_B07KL5K96X.png
32,Neutrogena Ultra Sheer Dry-Touch SPF 70,Kenvue,spf,,,9.88,4.5,38826,75,chimique,tone_evenness,tous,am,daily,ok,ok,0,1,3,non,0.78,👍 oui,⚠️ prudence,👍 oui,⚠️ prudence,👍 oui,"Customers find this sunscreen to be the best they've used, providing reliable protection and working well under makeup. The product is easy to apply and doesn't feel greasy or leave a white cast, though opinions on these aspects are mixed. Skin compatibility receives mixed feedback - while some say …",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/032_B005IHT94S.png
33,Beauty of Joseon Relief Sun SPF 50,Q.Z.Art,spf,,,8.99,4.3,146,58540,chimique léger,tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,0.78,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the sunscreen effective, with one noting it's a great option for daily use. The product is hydrating, with one customer mentioning their skin feels smooth and hydrated after application, and they like its appearance, with one noting it works well under makeup. The texture receives pos…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/033_B0CW1D1LS8.png
34,Black Girl Sunscreen SPF 30,BLACK GIRL SUNSCREEN,spf,,,9.99,4.7,8727,240,chimique (no white cast),tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,0.85,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this sunscreen effective and appreciate that it doesn't leave a white cast on dark skin. Moreover, the product is gentle on skin, works well under makeup, and provides a beautiful, all-day glow. Additionally, they like its smooth, non-greasy texture and moisturizing properties, with o…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/034_B0CV9R8DTK.png
35,Vanicream Facial Moisturizer SPF 30,Pharmaceutical Specialties Inc.,spf,,,13.97,4.5,4150,876,minéral sans parfum,"flaking, redness, tone_evenness","normale, seche, sensible",am,daily,ok,ok,0,1,3,oui,0.78,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the moisturizer effective for dry and sensitive skin, with good sun protection through mineral sunscreen. The texture receives mixed feedback - while some describe it as silky, others find it heavy and greasy. The absorption rate is also debated, with some saying it absorbs quickly wh…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/035_B09VLLZM3N.png
36,LRP Anthelios Melt-in Milk SPF 60,La Roche-Posay,spf,,,28.49,4.6,14895,584,chimique,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,0.82,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this sunscreen effective, particularly noting it works well under makeup and melts into the skin. The texture receives positive feedback for being silky and non-greasy, though some report it leaves a noticeable white cast. While some customers say it doesn't irritate their skin, other…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/036_B002CML1VG.png
37,EltaMD UV Clear SPF 46,EltaMD,spf,,,45,4.5,69115,14,niacinamide (hybride),"pores, redness, shine, tone_evenness","grasse, mixte, sensible",am,daily,ok,ok,0,2,4,oui,0.86,👍 oui,⚠️ prudence,👍 oui,👍 oui,👍 oui,"Customers find this sunscreen excellent for sun protection, particularly noting its effectiveness for sensitive and acne-prone skin. The product applies smoothly, feels light on the face, and is not greasy or oily. While some customers say it's worth the price, others find it too expensive, and opin…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/037_B002MSN3QQ.png
38,LRP Anthelios Tinted Mineral Sunscreen,La Roche Posay,spf,,,29.98,4.4,31521,205,minéral teinté,tone_evenness,tous,am,daily,ok,ok,0,1,3,oui,0.82,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this sunscreen provides reliable protection and appreciate its lightweight formula that's not heavy or greasy on the skin. Moreover, the product is gentle on sensitive and acne-prone skin, leaving it smooth and moisturized without clogging pores. However, the tint receives mixed feedb…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/038_B0CZP6FLPK.png
39,EltaMD UV Daily Tinted SPF 40,EltaMD Skin Care,spf,,,33.25,4.6,43811,92,teinté,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,0.85,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this sunscreen effective at protecting their face and appreciate its lightweight, smooth application. The tinted moisturizer receives positive feedback for being very light and not leaving a white cast, while providing good hydration without making the skin oily or greasy. While some …",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/039_B00J5KDCO2.png
40,Supergoop! Unseen Sunscreen,Supergoop! LLC,spf,,,24.7,4.6,19185,291,chimique invisible,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,0.83,👍 oui,⚠️ prudence,👍 oui,👍 oui,👍 oui,"Customers find this sunscreen provides excellent protection for fair skin and appreciate its smooth, silky texture that feels like a makeup primer. The product is lightweight, works well under makeup, and leaves no white cast. While many customers consider it worth the price, others feel it's too ex…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/040_B0DPNL864S.png
41,ISDIN Eryfotona Actinica SPF 50,ISDIN,spf,,,51.1,4.6,5509,2780,minéral,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,0.84,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this sunscreen effective, noting it works well as a primer under makeup and protects better than other products. The texture receives positive feedback for its smooth, non-tacky feel, and customers appreciate its moisturizing properties. The white cast and value for money receive mixe…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/041_B07RXS4FQM.png
42,LRP Anthelios UV Hydra SPF 50,Factory ZAN - US FRANKLIN,spf,,,29.98,4.7,786,2594,chimique invisible,tone_evenness,tous,am,daily,ok,ok,0,1,3,?,0.86,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this sunscreen provides excellent protection and moisturizes skin well, with a silky smooth texture that doesn't leave a white cast. They appreciate its effectiveness, with one customer noting it works well for rosacea, and its non-irritating formula that's comfortable to wear. Custom…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/042_B0CM4JVK6H.png
43,Garnier SkinActive Micellar Water,Garnier,démaquillant,,,8.35,4.7,73366,57,eau micellaire,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,0.84,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this micellar water effective at removing makeup, particularly eye makeup, while being gentle on the skin without causing stinging or irritation. The product leaves skin moisturized and is suitable for all skin types, with one customer noting it's better than makeup wipes. They apprec…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/043_B017PCGABI.png
44,CeraVe Hydrating Foaming Oil Cleanser,CeraVe,démaquillant,,,15.99,4.6,5738,1499,huile/céramides,"flaking, redness","normale, seche, sensible",pm,daily,ok,ok,0,1,4,oui,0.86,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this cleanser effective at removing makeup and restoring moisture to dry skin, while being gentle and soft on the skin. They appreciate that it doesn't irritate sensitive skin and doesn't cause breakouts, with one customer noting it doesn't strip the skin barrier. The foaming action c…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/044_B0C7J7CWBN.png
45,The INKEY List Oat Cleansing Balm,The INKEY List,démaquillant,,,13,4.2,4836,9535,baume avoine,"flaking, redness","normale, seche, sensible",pm,daily,ok,ok,0,1,3,?,0.84,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the cleansing balm effective at removing makeup, including sunscreen and mascara, and appreciate that it's gentle on sensitive skin without causing breakouts or irritation. The product receives positive feedback for its quality and value for money, with customers noting it's perfect f…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/045_B08GJ58Z6M.png
46,Bioderma Sensibio H2O,Bioderma,démaquillant,,,16.79,4.7,58326,146,eau micellaire,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,?,0.87,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this micellar water effective at removing makeup, particularly waterproof mascara, and appreciate its gentle formula that's especially suitable for sensitive skin without causing irritation. The product leaves skin feeling fresh and moisturized, and customers find it easy to use. Whil…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/046_B002XZLAWM.png
47,DHC Deep Cleansing Oil,DHC,démaquillant,,,16,4.6,24184,1055,huile d'olive,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,0.85,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the cleansing oil effective at removing makeup and appreciate its moisturizing properties, noting it leaves skin soft and clean without drying. The product receives positive feedback for its gentleness, with customers describing it as silky and smooth. While some customers find the sc…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/047_B001UE60E0.png
48,Heimish All Clean Balm,HEIMISH,démaquillant,,,12.99,4.6,5971,8755,baume,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,0.85,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this cleansing balm effective at removing even waterproof mascara and appreciate its lovely mild scent. The product leaves skin clean, hydrated, and moisturized, while being gentle around the eyes and non-irritating for sensitive skin. Moreover, they praise its creamy texture and ease…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/048_B01CJ639SM.png
